company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,transfer_to_checked_ratio,total_passengers,load_factor,ssr_count,ssr_per_pax,ground_time_pressure,difficulty_score,difficulty_rank,difficulty_class
UA,881,2025-08-01,ORD,HND,2025-08-01 12:50:00+00:00,2025-08-02T15:55:00Z,2025-08-01 13:00:00+00:00,2025-08-02T15:47:00Z,318,B787-10,Mainline,1230,1145,155,0.7485714285714286,394,0.642503384573201,93,0.039503217118060756,0.39769036448935396,1.8282683947520442,1,Difficult
UA,972,2025-08-01,ORD,BRU,2025-08-01 17:50:00+00:00,2025-08-02T08:50:00Z,2025-08-01 20:23:00+00:00,2025-08-02T10:50:00Z,318,B787-10,Mainline,691,893,100,0.7885714285714286,357,0.5790961904272275,181,0.08742739950985631,0.2941176470588235,1.749212665567336,2,Difficult
UA,944,2025-08-01,ORD,FRA,2025-08-01 15:10:00+00:00,2025-08-02T06:30:00Z,2025-08-01 16:40:00+00:00,2025-08-02T08:01:00Z,318,B787-10,Mainline,250,191,155,0.5857142857142857,399,0.651071924322657,131,0.055824508150519946,0.3883074702273547,1.6809181884148177,3,Difficult
UA,845,2025-08-01,ORD,GRU,2025-08-01 21:20:00+00:00,2025-08-02T09:30:00Z,2025-08-01 21:36:00+00:00,2025-08-02T09:32:00Z,318,B787-10,Mainline,360,254,155,0.5742857142857143,367,0.5962332699261392,212,0.09992371550736118,0.4052688560086611,1.6757115557278757,4,Difficult
UA,907,2025-08-01,ORD,FRA,2025-08-01 18:25:00+00:00,2025-08-02T09:55:00Z,2025-08-01 18:39:00+00:00,2025-08-02T09:49:00Z,318,B787-10,Mainline,210,207,155,0.58,399,0.651071924322657,135,0.05759760766573024,0.3680981595092024,1.6567676914975897,5,Difficult
UA,909,2025-08-01,ORD,AMS,2025-08-01 18:15:00+00:00,2025-08-02T09:20:00Z,2025-08-01 18:42:00+00:00,2025-08-02T09:42:00Z,243,B787-8,Mainline,3160,2867,95,0.43714285714285717,273,0.579540485080903,97,0.060598237614547655,0.4727535185853482,1.550035098423656,6,Difficult
UA,1710,2025-08-01,ORD,SMF,2025-08-01 19:59:00+00:00,2025-08-01T22:32:00Z,2025-08-01 20:19:00+00:00,2025-08-01T23:26:00Z,166,B737-800,Mainline,96,72,51,0.32,211,0.6599914644955845,118,0.09666672103583188,0.3756766510285095,1.4523348365599258,7,Difficult
UA,1811,2025-08-01,ORD,MSP,2025-08-01 12:45:00+00:00,2025-08-01T14:28:00Z,2025-08-01 13:39:00+00:00,2025-08-01T15:01:00Z,166,B737-800,Mainline,14,64,51,0.3342857142857143,201,0.627162601359115,151,0.1306254899377123,0.3489714904366654,1.441045296019207,8,Difficult
UA,219,2025-08-01,ORD,HNL,2025-08-01 09:30:00+00:00,2025-08-01T13:30:00Z,2025-08-01 09:50:00+00:00,2025-08-01T13:42:00Z,318,B787-10,Mainline,165,205,155,0.33714285714285713,429,0.7024831628193924,93,0.03609722613164181,0.35258029592204976,1.4283035420159411,9,Difficult
UA,1335,2025-08-01,ORD,BUF,2025-08-01 18:20:00+00:00,2025-08-01T21:01:00Z,2025-08-01 18:27:00+00:00,2025-08-01T21:05:00Z,179,B737-900,Mainline,88,94,56,0.2742857142857143,239,0.6949294445374699,104,0.07471840434450241,0.3648502345723565,1.408783797740043,10,Difficult
